TIMESTAMP,ACTUAL_DELIVERY_MINUTES - ESTIMATED_DELIVERY_MINUTES,ITEM_COUNT,USER_LAT,USER_LONG,VENUE_LAT,VENUE_LONG,ESTIMATED_DELIVERY_MINUTES,ACTUAL_DELIVERY_MINUTES,CLOUD_COVERAGE,TEMPERATURE,WIND_SPEED,PRECIPITATION,CUACA,tanggal,Hari,Jam,distance,VANUE_lOCATION,USER_LOCATION,VANUE,USER
2020-08-01 11:45:00,0,1,60.158,24.915,60.157,24.921,30,30,0.0,18.9,3.40731,0.0,,1,5,11,0.35012163257027784,"60.157, 24.921","60.158, 24.915",VANUE 62,Customer 90
2020-08-01 11:46:00,9,2,60.194,24.963,60.19,24.956,24,33,0.0,18.9,3.40731,0.0,,1,5,11,0.5895226812196808,"60.19, 24.956","60.194, 24.963",VANUE 63,Customer 91
2020-08-01 11:47:00,-13,2,60.155,24.911,60.151,24.885,32,19,0.0,18.9,3.40731,0.0,,1,5,11,1.5060206592928853,"60.151, 24.885","60.155, 24.911",VANUE 64,Customer 92
2020-08-01 11:47:00,3,1,60.179,24.925,60.181,24.925,30,33,0.0,18.9,3.40731,0.0,,1,5,11,0.22238985328853778,"60.181, 24.925","60.179, 24.925",VANUE 57,Customer 93
2020-08-01 11:49:00,5,1,60.18,24.925,60.183,24.923,37,42,0.0,18.9,3.40731,0.0,,1,5,11,0.3514366038646444,"60.183, 24.923","60.18, 24.925",VANUE 65,Customer 94
2020-08-01 11:51:00,-7,1,60.188,24.946,60.194,24.956,28,21,0.0,18.9,3.40731,0.0,,1,5,11,0.8664065877021568,"60.194, 24.956","60.188, 24.946",VANUE 14,Customer 95
2020-08-01 11:56:00,-7,1,60.168,24.927,60.169,24.93,31,24,0.0,18.9,3.40731,0.0,,1,5,11,0.1997525531988813,"60.169, 24.93","60.168, 24.927",VANUE 29,Customer 96
2020-08-01 11:58:00,-7,6,60.185,24.911,60.167,24.94,39,32,0.0,18.9,3.40731,0.0,,1,5,11,2.5647651580124218,"60.167, 24.94","60.185, 24.911",VANUE 66,Customer 97
2020-08-01 12:00:00,-5,1,60.183,24.954,60.188,24.956,23,18,45.0,20.0,2.9208,0.0,,1,5,12,0.5668630300206579,"60.188, 24.956","60.183, 24.954",VANUE 67,Customer 98
2020-08-01 12:03:00,3,2,60.185,24.953,60.195,24.956,24,27,45.0,20.0,2.9208,0.0,,1,5,12,1.1242472637495882,"60.195, 24.956","60.185, 24.953",VANUE 68,Customer 99
2020-08-01 12:04:00,8,3,60.165,24.967,60.187,24.963,38,46,45.0,20.0,2.9208,0.0,,1,5,12,2.4562692794871976,"60.187, 24.963","60.165, 24.967",VANUE 69,Customer 100
2020-08-01 12:05:00,-9,1,60.168,24.966,60.172,24.958,27,18,45.0,20.0,2.9208,0.0,,1,5,12,0.6273979148935307,"60.172, 24.958","60.168, 24.966",VANUE 70,Customer 101
